"id","Date","BTC_Open","BTC_High","BTC_Low","BTC_Close","BTC_Adj_Close","BTC_Volume","BTC_Daily_Percent_Change","ETH_Open","ETH_High","ETH_Low","ETH_Close","ETH_Adj_Close","ETH_Volume","ETH_Daily_Percent_Change"
1,"2017-11-09 00:00:00",7446.830078,7446.830078,7101.52002,7143.580078,7143.580078,3226249984,-4.07,308.644989,329.451996,307.056,320.884003,320.884003,893249984,3.97
2,"2017-11-10 00:00:00",7173.72998,7312,6436.870117,6618.140137,6618.140137,5208249856,-7.74,320.67099,324.717987,294.541992,299.252991,299.252991,885985984,-6.68
3,"2017-11-11 00:00:00",6618.609863,6873.149902,6204.220215,6357.600098,6357.600098,4908680192,-3.94,298.585999,319.453003,298.191986,314.681,314.681,842300992,5.39
4,"2017-11-12 00:00:00",6295.450195,6625.049805,5519.009766,5950.069824,5950.069824,8957349888,-5.49,314.690002,319.153015,298.513,307.90799,307.90799,1613479936,-2.16
5,"2017-11-13 00:00:00",5938.25,6811.189941,5844.290039,6559.490234,6559.490234,6263249920,10.46,307.024994,328.415009,307.024994,316.716003,316.716003,1041889984,3.16
6,"2017-11-14 00:00:00",6561.47998,6764.97998,6461.75,6635.75,6635.75,3197110016,1.13,316.763,340.177002,316.763,337.631012,337.631012,1069680000,6.59
7,"2017-11-15 00:00:00",6634.759766,7342.25,6634.759766,7315.540039,7315.540039,4200880128,10.26,337.963989,340.911987,329.812988,333.356995,333.356995,722665984,-1.36
8,"2017-11-16 00:00:00",7323.240234,7967.379883,7176.580078,7871.689941,7871.689941,5123809792,7.49,333.442993,336.158997,323.605988,330.924011,330.924011,797254016,-0.76
9,"2017-11-17 00:00:00",7853.569824,8004.589844,7561.089844,7708.990234,7708.990234,4651670016,-1.84,330.166992,334.963989,327.52301,332.394012,332.394012,621732992,0.67
10,"2017-11-18 00:00:00",7697.209961,7884.990234,7463.439941,7790.149902,7790.149902,3667190016,1.21,331.980011,349.615997,327.687012,347.612,347.612,649638976,4.71
11,"2017-11-19 00:00:00",7766.029785,8101.910156,7694.100098,8036.490234,8036.490234,3149319936,3.48,347.401001,371.290985,344.73999,354.385986,354.385986,1181529984,2.01
12,"2017-11-20 00:00:00",8039.069824,8336.860352,7949.359863,8200.639648,8200.639648,3488450048,2.01,354.093994,372.136993,353.289001,366.730011,366.730011,807027008,3.57
13,"2017-11-21 00:00:00",8205.740234,8348.660156,7762.709961,8071.259766,8071.259766,4277609984,-1.64,367.442993,372.470001,350.692993,360.401001,360.401001,949912000,-1.92
14,"2017-11-22 00:00:00",8077.950195,8302.259766,8075.470215,8253.549805,8253.549805,3633530112,2.17,360.312012,381.420013,360.147003,380.652008,380.652008,800819008,5.65
15,"2017-11-23 00:00:00",8232.379883,8267.400391,8038.77002,8038.77002,8038.77002,4225179904,-2.35,381.438995,425.548004,376.088013,410.165985,410.165985,1845680000,7.53
16,"2017-11-24 00:00:00",8074.02002,8374.160156,7940.930176,8253.69043,8253.69043,5058610176,2.23,412.501007,480.972992,402.757996,474.911011,474.911011,2292829952,15.13
17,"2017-11-25 00:00:00",8241.709961,8790.919922,8191.149902,8790.919922,8790.919922,4342060032,6.66,475.675995,485.191986,461.053009,466.276001,466.276001,1422080000,-1.98
18,"2017-11-26 00:00:00",8789.040039,9522.929688,8775.589844,9330.549805,9330.549805,5475579904,6.16,465.973999,472.722992,451.605988,471.329987,471.329987,1197779968,1.15
19,"2017-11-27 00:00:00",9352.719727,9818.349609,9352.719727,9818.349609,9818.349609,5653320192,4.98,471.531006,493.404999,468.484985,480.355011,480.355011,1396480000,1.87
20,"2017-11-28 00:00:00",9823.429688,10125.7002,9736.299805,10058.79981,10058.79981,6348819968,2.4,480.518005,482.480011,466.346985,472.902008,472.902008,1346499968,-1.58
21,"2017-11-29 00:00:00",10077.40039,11517.40039,9601.030273,9888.610352,9888.610352,11568799744,-1.87,473.281006,522.307007,425.071014,427.52301,427.52301,2675940096,-9.67
22,"2017-11-30 00:00:00",9906.790039,10801,9202.049805,10233.59961,10233.59961,8310689792,3.3,431.214996,465.497009,401.243011,447.114014,447.114014,1903040000,3.69
23,"2017-12-01 00:00:00",10198.59961,11046.7002,9694.650391,10975.59961,10975.59961,6783119872,7.62,445.209015,472.609009,428.312012,466.540009,466.540009,1247879936,4.79
24,"2017-12-02 00:00:00",10978.29981,11320.2002,10905.09961,11074.59961,11074.59961,5138500096,0.88,466.851013,476.239014,456.653015,463.449005,463.449005,943649984,-0.73
25,"2017-12-03 00:00:00",11082.7002,11858.7002,10862,11323.2002,11323.2002,6608309760,2.17,463.704987,482.813995,451.85199,465.852997,465.852997,990556992,0.46
26,"2017-12-04 00:00:00",11315.40039,11657.2002,11081.79981,11657.2002,11657.2002,6132409856,3.02,466.053986,474.777008,453.312012,470.20401,470.20401,1005550016,0.89
27,"2017-12-05 00:00:00",11685.7002,12032,11604.59961,11916.7002,11916.7002,6895260160,1.98,470.294006,473.558014,457.660004,463.281006,463.281006,1216720000,-1.49
