"id","Date","Crypto","Open","High","Low","Close","Adj_Close","Volume","Daily_Percent_Change"
1,"2014-09-17 00:00:00","BTC",465.864014,468.174011,452.421997,457.334015,457.334015,21056800,-1.83
2,"2014-09-18 00:00:00","BTC",456.859985,456.859985,413.104004,424.440002,424.440002,34483200,-7.1
3,"2014-09-19 00:00:00","BTC",424.102997,427.834991,384.532013,394.79599,394.79599,37919700,-6.91
4,"2014-09-20 00:00:00","BTC",394.673004,423.29599,389.882996,408.903992,408.903992,36863600,3.61
5,"2014-09-21 00:00:00","BTC",408.084991,412.425995,393.181,398.821014,398.821014,26580100,-2.27
6,"2014-09-22 00:00:00","BTC",399.100006,406.915985,397.130005,402.152008,402.152008,24127600,0.76
7,"2014-09-23 00:00:00","BTC",402.09201,441.557007,396.196991,435.790985,435.790985,45099500,8.38
8,"2014-09-24 00:00:00","BTC",435.751007,436.112,421.131989,423.204987,423.204987,30627700,-2.88
9,"2014-09-25 00:00:00","BTC",423.156006,423.519989,409.467987,411.574005,411.574005,26814400,-2.74
10,"2014-09-26 00:00:00","BTC",411.428986,414.937988,400.009003,404.424988,404.424988,21460800,-1.7
11,"2014-09-27 00:00:00","BTC",403.556,406.622986,397.372009,399.519989,399.519989,15029300,-1.0
12,"2014-09-28 00:00:00","BTC",399.471008,401.016998,374.332001,377.181,377.181,23613300,-5.58
13,"2014-09-29 00:00:00","BTC",376.928009,385.210999,372.23999,375.46701,375.46701,32497700,-0.39
14,"2014-09-30 00:00:00","BTC",376.088013,390.97699,373.442993,386.944,386.944,34707300,2.89
15,"2014-10-01 00:00:00","BTC",387.427002,391.378998,380.779999,383.61499,383.61499,26229400,-0.98
16,"2014-10-02 00:00:00","BTC",383.988007,385.497009,372.946014,375.071991,375.071991,21777700,-2.32
17,"2014-10-03 00:00:00","BTC",375.181,377.695007,357.859009,359.511993,359.511993,30901200,-4.18
18,"2014-10-04 00:00:00","BTC",359.891998,364.487,325.885986,328.865997,328.865997,47236500,-8.62
19,"2014-10-05 00:00:00","BTC",328.915985,341.800995,289.29599,320.51001,320.51001,83308096,-2.56
20,"2014-10-06 00:00:00","BTC",320.389008,345.134003,302.559998,330.07901,330.07901,79011800,3.02
21,"2014-10-07 00:00:00","BTC",330.584015,339.247009,320.481995,336.187012,336.187012,49199900,1.69
22,"2014-10-08 00:00:00","BTC",336.115997,354.364014,327.187988,352.940002,352.940002,54736300,5.01
23,"2014-10-09 00:00:00","BTC",352.747986,382.726013,347.687012,365.026001,365.026001,83641104,3.48
24,"2014-10-10 00:00:00","BTC",364.687012,375.066986,352.963013,361.562012,361.562012,43665700,-0.86
25,"2014-10-11 00:00:00","BTC",361.362,367.19101,355.950989,362.299011,362.299011,13345200,0.26
26,"2014-10-12 00:00:00","BTC",362.605988,379.433014,356.144012,378.549011,378.549011,17552800,4.4
27,"2014-10-13 00:00:00","BTC",377.92099,397.226013,368.897003,390.414001,390.414001,35221400,3.31
28,"2014-10-14 00:00:00","BTC",391.691986,411.697998,391.324005,400.869995,400.869995,38491500,2.34
29,"2014-10-15 00:00:00","BTC",400.954987,402.22699,388.765991,394.77301,394.77301,25267100,-1.54
30,"2014-10-16 00:00:00","BTC",394.518005,398.807007,373.070007,382.556,382.556,26990000,-3.03
31,"2014-10-17 00:00:00","BTC",382.756012,385.477997,375.389008,383.757996,383.757996,13600700,0.26
32,"2014-10-18 00:00:00","BTC",383.976013,395.15799,378.971008,391.441986,391.441986,11416800,1.94
33,"2014-10-19 00:00:00","BTC",391.253998,393.938995,386.457001,389.54599,389.54599,5914570,-0.44
34,"2014-10-20 00:00:00","BTC",389.230988,390.084015,378.252014,382.845001,382.845001,16419000,-1.64
35,"2014-10-21 00:00:00","BTC",382.42099,392.645996,380.834015,386.475006,386.475006,14188900,1.06
36,"2014-10-22 00:00:00","BTC",386.118011,388.575989,382.248993,383.15799,383.15799,11641300,-0.77
37,"2014-10-23 00:00:00","BTC",382.962006,385.048004,356.446991,358.416992,358.416992,26456900,-6.41
38,"2014-10-24 00:00:00","BTC",358.591003,364.345001,353.304993,358.345001,358.345001,15585700,-0.07
39,"2014-10-25 00:00:00","BTC",358.610992,359.860992,342.877014,347.270996,347.270996,18127500,-3.16
40,"2014-10-26 00:00:00","BTC",347.487,359.221008,343.931,354.70401,354.70401,11272500,2.08
41,"2014-10-27 00:00:00","BTC",354.777008,358.631989,349.80899,352.989014,352.989014,13033000,-0.5
42,"2014-10-28 00:00:00","BTC",353.214996,359.984009,352.678986,357.618011,357.618011,7845880,1.25
43,"2014-10-29 00:00:00","BTC",357.088989,357.833008,335.342987,335.591003,335.591003,18192700,-6.02
44,"2014-10-30 00:00:00","BTC",335.709015,350.912994,335.071991,345.304993,345.304993,30177900,2.86
45,"2014-10-31 00:00:00","BTC",345.009003,348.045013,337.141998,338.321014,338.321014,12545400,-1.94
46,"2014-11-01 00:00:00","BTC",338.649994,340.528992,321.054993,325.748993,325.748993,16677200,-3.81
47,"2014-11-02 00:00:00","BTC",326.075012,329.049988,320.626007,325.891998,325.891998,8603620,-0.06
48,"2014-11-03 00:00:00","BTC",325.569,334.002014,325.480988,327.553986,327.553986,12948500,0.61
49,"2014-11-04 00:00:00","BTC",327.161011,331.766998,325.076996,330.492004,330.492004,15655500,1.02
50,"2014-11-05 00:00:00","BTC",330.683014,343.368988,330.683014,339.485992,339.485992,19817200,2.66
51,"2014-11-06 00:00:00","BTC",339.458008,352.966003,338.424011,349.290009,349.290009,18797000,2.9
52,"2014-11-07 00:00:00","BTC",349.817993,352.731995,341.776001,342.415009,342.415009,16834200,-2.12
53,"2014-11-08 00:00:00","BTC",342.153992,347.032013,342.153992,345.488007,345.488007,8535470,0.97
54,"2014-11-09 00:00:00","BTC",345.376007,363.626007,344.255005,363.264008,363.264008,24205600,5.18
55,"2014-11-10 00:00:00","BTC",362.265015,374.81601,357.561005,366.924011,366.924011,30450100,1.29
56,"2014-11-11 00:00:00","BTC",365.856995,371.309998,363.734985,367.695007,367.695007,15838900,0.5
